gene,total,mean,var,sd,min,max,median
CNAG_00097,3458,115.26666666666667,2299.650574712644,47.95467208429898,32,206,119
CNAG_00098,10793,359.76666666666665,23932.254022988505,154.70053013156905,109,775,351
CNAG_00099,18823,627.4333333333333,26652.529885057473,163.25602557044402,311,892,652.5
CNAG_00100,171720,5724,4873947.172413793,2207.7017852087256,1929,9941,5249.5
CNAG_00101,17156,571.8666666666667,18705.705747126438,136.76880399830378,257,842,604.5
CNAG_00104,55624,1854.1333333333334,344823.6367816092,587.2168566906175,715,2940,1722.5
CNAG_00106,6367,212.23333333333332,2670.116091954023,51.673166072479276,109,314,218.5
CNAG_00107,2923,97.43333333333334,3555.4954022988504,59.62797499746952,14,205,96.5
CNAG_00108,40062,1335.4,136365.9724137931,369.27763595131654,649,1939,1296.5
CNAG_00109,38430,1281,99724.62068965517,315.7920529235262,631,1932,1329
CNAG_00110,13666,455.53333333333336,17465.912643678163,132.15866465607982,222,757,420.5
CNAG_00111,23251,775.0333333333333,25548.51609195402,159.83903181624325,364,1065,779
CNAG_00115,7335,244.5,3327.2241379310344,57.68209547104747,107,374,247
CNAG_00116,697043,23234.766666666666,104601590.39195402,10227.491891561393,8461,51993,23886.5
CNAG_00117,22103,736.7666666666667,19240.94367816092,138.71172869718305,490,1027,755
CNAG_00118,9845,328.1666666666667,5305.936781609195,72.84186146447107,211,468,325
CNAG_00119,4692,156.4,2292.8689655172416,47.8839113431353,56,235,164.5
CNAG_00120,11620,387.3333333333333,5958.919540229885,77.19403824279362,237,594,391.5
CNAG_00121,23272,775.7333333333333,35168.06436781609,187.53150233445072,403,1063,778
CNAG_00122,4734,157.8,1628.0275862068966,40.3488238515932,86,253,161
CNAG_00123,1248,41.6,1286.9379310344827,35.87391714093239,7,124,29
CNAG_00124,17028,567.6,46145.144827586206,214.81421002248945,278,935,487.5
CNAG_00125,1649,54.96666666666667,344.516091954023,18.561144683289957,27,99,52
CNAG_00126,20666,688.8666666666667,36119.567816091956,190.05148727671656,396,1005,703.5
CNAG_00127,2531,84.36666666666666,565.2747126436782,23.77550656965437,40,125,88.5
CNAG_00128,3554,118.46666666666667,1475.222988505747,38.408631692703494,44,185,123.5
CNAG_00129,6046,201.53333333333333,1369.222988505747,37.00301323548863,119,284,204
CNAG_00130,28976,965.8666666666667,424671.6367816092,651.6683487646221,233,2443,697
CNAG_00131,1837,61.233333333333334,1011.9091954022989,31.810520200120887,24,146,52
CNAG_00132,1942,64.73333333333333,1110.3402298850574,33.32176810862619,15,115,57.5
CNAG_00133,6614,220.46666666666667,15625.567816091954,125.00227124373363,71,596,197.5
CNAG_00134,7221,240.7,4509.803448275862,67.15507016060562,127,388,215
CNAG_00135,11719,390.6333333333333,16288.92988505747,127.62809206854685,157,647,423
CNAG_00136,64415,2147.1666666666665,414251.7988505747,643.6239576418631,902,3326,2087
CNAG_00137,7018,233.93333333333334,10456.891954022989,102.25894559412878,81,426,220.5
CNAG_00138,15200,506.6666666666667,10919.747126436781,104.49759387869551,274,697,509.5
CNAG_00139,17662,588.7333333333333,107777.16781609195,328.2943310751679,143,1318,517
CNAG_00140,41743,1391.4333333333334,85762.2540229885,292.8519319092645,719,1814,1467.5
CNAG_00141,2120,70.66666666666667,982.6436781609195,31.347147847306932,27,150,62
CNAG_00142,9889,329.6333333333333,9235.205747126436,96.09997787266362,137,485,341.5
CNAG_00143,24269,808.9666666666667,52381.481609195405,228.8700102879261,345,1297,803
CNAG_00144,1184,39.46666666666667,130.53333333333333,11.425118526008093,24,73,37.5
CNAG_00145,9709,323.6333333333333,6332.309195402298,79.57580785265267,180,460,313.5
CNAG_00146,8093,269.76666666666665,4565.357471264368,67.56742907099816,125,387,275.5
CNAG_00147,111564,3718.8,605436.0275862069,778.0976979699959,2161,5746,3696.5
CNAG_00148,13306,443.53333333333336,9386.533333333333,96.88412322632297,252,695,430.5
CNAG_00149,188805,6293.5,3507375.1551724137,1872.7987492446737,2876,9561,6135.5
CNAG_00150,14618,487.26666666666665,12232.754022988505,110.60178128307204,238,689,479.5
CNAG_00151,10044,334.8,6632.0965517241375,81.437685083284,135,516,350
CNAG_00152,8205,273.5,4354.189655172414,65.9862838412076,113,358,283.5
CNAG_00153,2428,80.93333333333334,221.99540229885056,14.899510136204162,40,112,81
CNAG_00154,18471,615.7,229055.38965517242,478.59731471788723,91,1543,303.5
CNAG_00155,12,0.4,0.31724137931034485,0.5632418479750461,0,2,0
CNAG_00156,12153,405.1,32815.95517241379,181.1517462582511,158,690,328.5
CNAG_00157,39631,1321.0333333333333,224874.10229885057,474.2089226267791,504,2307,1234.5
CNAG_00158,7151,238.36666666666667,3097.619540229885,55.65626236309698,128,322,249
CNAG_00159,7432,247.73333333333332,2785.4436781609197,52.77730267985396,129,340,256.5
CNAG_00160,1443,48.1,894.7137931034483,29.911766800098057,16,126,38.5
CNAG_00161,1752,58.4,1486.3172413793104,38.55278513128864,16,157,42.5
CNAG_00162,5206,173.53333333333333,13113.498850574713,114.51418624159503,51,445,126.5
CNAG_00163,8778,292.6,12599.144827586208,112.24591229789264,126,495,275
CNAG_00164,7312,243.73333333333332,27451.650574712643,165.68539638336458,14,619,220.5
CNAG_00165,14681,489.3666666666667,9918.654022988505,99.59243958749332,278,661,521
CNAG_00166,8214,273.8,4779.131034482759,69.13125945968841,140,379,268.5
CNAG_00167,9426,314.2,14041.544827586207,118.49702455161567,129,530,294
CNAG_00171,1695,56.5,229.77586206896552,15.158359478154802,26,93,55.5
